label,review
1,总体不错，不过备注有让加辣，结果没有加…
0,"菜品温度差,菜品味道佳"
0,打电话让快点，还是十一点送到的，，，，
0,送餐员也太厉害了，就问了句到的是不是六层怎么都不回答，之后还嚷嚷，拿了餐还在我公司门口嚷嚷。起码的尊重都没有还在给顾客这样的服务真是砸招牌
1,一直吃他家湘菜～味道正宗。
0,"都歪七扭八的,还都软的变形了,只能说很差,看来大家的评价是对的"
1,味道真心不错啊，像家里做的感觉～
1,饼还不错。就是稍慢了点
1,"不知道黄家是没有薄脆的。。不爱吃，,肉松的不错"
1,好吃，准时
1,送餐小哥很给力，大赞。
0,自己系统问题误了时间，还义正言辞，一点责任没有……呵呵
0,菜不怎么好吃，就是包装盒子看着挺好看
0,配送时间超长，眼看着送货员在望京转悠了几圈，最后才送来，还没送到地方就把单子结算了，显示配送成功了，豆腐脑全撒了，满袋子都是汤，煎饼已经冰凉了，一口都没吃都扔了。用了这么久百度外卖第一次差评，实在是太不满意了。
0,可以的，百度外卖这段时间有力度啊
0,送餐速度能再慢一点吗？让我们等三个小时吧
0,十点叫的，两点多才到，打了好几个电话，都没下文，也不回电，
0,送餐好慢，菜的味道还算不错
0,绝了我竟然吃出个小别针，靠，幸亏口是别针的，要命是咋的，送餐员态度很好，饭菜质量把把关吧
1,点了三个菜，师傅拿来六盒子，量很大的。千叶豆腐和包菜咸了点，鱼香肉丝咸淡刚刚好，口味很好，干净卫生，没想到这么好，还送了几颗山楂，希望品质会一直保持，还会再来滴。
0,"满50送的霸王鸡条没给配送,致电百度外卖客服未果！请速解决"
0,你们家是卖盐的么，把菜弄那么咸？
0,凉皮是厚的条，不麻酱少，不好吃
0,"足足完了一个小时,手机一直开机,保持通畅,但回复说因为打不通电话才走的,我已经在网上交过钱了,让我晚了一个小时吃饭,态度还很差,可以放在前台的,为什么要再拿走"
0,自作孽不可活，说了以后再也不定这家，我就是手欠！
1,服务好速度快，100分
1,第一次少送了，让配送员跑了两次，不好意思！
0,鱼香肉丝味道完全不对，饼很硬
0,没吃过这么难吃的凉皮………还不如路边摊………
0,"晚了一个半小时,而且都凉了"
1,肘子的很香～有手套送餐快～～可以我家附近没有
0,没有店里的好吃
0,菜品没味道。。。周也是。。。。
0,送餐晚了半个小时，也没报价。东西都洒了。
0,"中午点的少给我饮料,下午点的少给我广味烤肠,备注补给中午的饮料也没给,我真是无语了，估计投诉百度外卖也不会理我吧"
0,"根本就没有更换点餐单目录,没有榛果和杏仁拿铁每次还要补价差"
0,"鸡块难吃,速度太慢,花了一个多小时,送到饭都凉了怎么吃"
0,"送的太慢了,将近两个小时"
1,"其它都挺好,就是鸡柳煎饼太难吃了,太重口味了,吃完直恶心"
1,很满意，送的挺快，味道又好
0,宫爆鸡丁太难吃了
0,"牛肉饼里肉还没小拇哥大呢,这会偷工减料,以后不点了"
0,太慢了一个半小时才到把孩子饿坏了，红烧肉量也特别少，盒菜也不好吃，丸子孩子还吃点
1,很不错，味道好，送餐服务好～～～
0,今天的菜感觉都是剩菜呢
0,餐呢？就为了不半价，餐没送来就确认了？必须投诉
0,搞活动就好慢，只想说量力而行吧
1,"天气不好,速度还是非常快"
0,"味道不错,就是送餐慢了"
1,不错，配送速度快
1,煎饼真唑实，一个就撑。吃的拉面煎饼
0,一个半小时才送到，送到都是冰凉的，还不带够零钱，付款时找不开还让我去找零钱给她。差差差！！
0,送错，点的意式荤劲十足爆牛堡。给我送一个什么双层煲。嚓
1,"不错,很值"
1,非常满意！量足味儿好！
1,不错，味道很好，提点小小建议，要是能配上点腌菜或者拌菜就很好了
1,写了要发票，没给发票
0,凉菜量很小，味道不错，感觉不怎么实惠。
0,不是一般的慢，1.30才到。再也不会来了
1,稍微有点腻'其他还好
0,挺好的，总吃
1,味道蛮不错的，包装也很喜欢
1,神速啊！餐还是热的呢
1,非常不错，很好吃
0,肉太少了送餐慢
0,我点的凉菜，给我送一盒热的烂白菜
